0.464970342078641,0.745869699844776,-0.054253077658973,-0.0499407465478144,-0.0824532776673907,-0.266388070143936
0.52740952264182,-3.08148791101958e-33,-0.0288333034629119,-1.54074395550979e-33,-0.0611136146064396,-0.155784688469832
1.00039637169768e-17,-1.55662749428104e-33,-2.11410558980064e-17,-8.67937923254838e-34,-0.0357394586311068,-0.091103438485551
-5.37068059766807e-18,1.35562420924529e-35,5.96460942763673e-18,9.92281295501668e-35,-0.0209005621982962,-0.0532776140287872
-3.14079306677143e-18,7.92773846836793e-36,3.4881247535843e-18,5.80289621868743e-35,-0.0122227229212879,-0.0311569376939665
-1.83674692785913e-18,4.63616958108406e-36,2.03986773051597e-18,3.39355429529008e-35,-0.00714789172622136,-0.0182206876971102
-1.07413611953361e-18,2.71124841849054e-36,1.19292188552735e-18,1.98456259100333e-35,-0.00418011243965925,-0.0106555228057574
-6.28158613354285e-19,1.58554769367359e-36,6.97624950716859e-19,1.16057924373749e-35,-0.00244454458425758,-0.00623138753879329
-3.67349385571825e-19,9.27233916216812e-37,4.07973546103194e-19,6.78710859058017e-36,-0.00142957834524427,-0.00364413753942204
-2.14827223906723e-19,5.42249683698108e-37,2.38584377105469e-19,3.96912518200667e-36,-0.000836022487931849,-0.00213110456115148
-1.25631722670857e-19,3.17109538734717e-37,1.39524990143372e-19,2.32115848747497e-36,-0.000488908916851516,-0.00124627750775866
-7.3469877114365e-20,1.85446783243362e-37,8.15947092206388e-20,1.35742171811603e-36,-0.000285915669048854,-0.000728827507884407
-4.29654447813445e-20,1.08449936739622e-37,4.77168754210938e-20,7.93825036401333e-37,-0.00016720449758637,-0.000426220912230297
-2.51263445341714e-20,6.34219077469434e-38,2.79049980286743e-20,4.64231697494994e-37,-9.77817833703031e-05,-0.000249255501551731
-1.4693975422873e-20,3.70893566486725e-38,1.63189418441278e-20,2.71484343623206e-37,-5.71831338097708e-05,-0.000145765501576881
